OBJECTNUMMER;Straatvaknummer;Loopruimte;Walkability_algemeen;Drukte_algemeen;Walkability_recreatief;Drukte_recreatief;Walkability_toeristisch;Drukte_toeristisch;Walkability_werkgerelateerd;Drukte_werkgerelateerd;WKT_LNG_LAT;WKT_LAT_LNG;LNG;LAT;
9444;9444;"ruim";"matig";"zeer druk";"matig";"zeer druk";"goed";"rustig";"matig";"zeer druk";"LINESTRING(4.850577 52.369044,4.850567 52.369023)";"LINESTRING(52.369044 4.850577,52.369023 4.850567)";4.850572;52.3690335;
9445;9445;"ruim";"goed";"druk";"goed";"druk";"matig";"zeer druk";"goed";"druk";"LINESTRING(4.8947 52.379504,4.894646 52.379483,4.894565 52.379414,4.894362 52.379208)";"LINESTRING(52.379504 4.8947,52.379483 4.894646,52.379414 4.894565,52.379208 4.894362)";4.894531;52.379356;
9446;9446;"zeer ruim";"uitstekend";"rustig";"uitstekend";"rustig";"goed";"druk";"goed";"druk";"LINESTRING(4.906214 52.362874,4.906204 52.362858,4.906232 52.362813)";"LINESTRING(52.362874 4.906214,52.362858 4.906204,52.362813 4.906232)";4.906218;52.3628435;
9447;9447;"ruim";"goed";"rustig";"matig";"druk";"matig";"druk";"goed";"rustig";"LINESTRING(4.923709 52.362013,4.923715 52.362035,4.923676 52.362079,4.923597 52.362271)";"LINESTRING(52.362013 4.923709,52.362035 4.923715,52.362079 4.923676,52.362271 4.923597)";4.923656;52.362142;
9448;9448;"krap";"matig";"rustig";"matig";"rustig";"matig";"rustig";"matig";"druk";"LINESTRING(4.879363 52.374254,4.879729 52.374351,4.881176 52.374673)";"LINESTRING(52.374254 4.879363,52.374351 4.879729,52.374673 4.881176)";4.8802695;52.3744635;
9449;9449;"zeer krap";"goed";"zeer rustig";"goed";"zeer rustig";"matig";"rustig";"matig";"rustig";"LINESTRING(4.893758 52.35454,4.898067 52.355499)";"LINESTRING(52.35454 4.893758,52.355499 4.898067)";4.8959125;52.3550195;
9450;9450;"krap";"slecht";"zeer druk";"goed";"rustig";"matig";"druk";"slecht";"zeer druk";"LINESTRING(4.900161 52.371471,4.900327 52.371422,4.900389 52.371445)";"LINESTRING(52.371471 4.900161,52.371422 4.900327,52.371445 4.900389)";4.900275;52.3714465;
9451;9451;"ruim";"goed";"rustig";"goed";"rustig";"goed";"rustig";"goed";"rustig";"LINESTRING(4.927943 52.356736,4.927932 52.356721,4.928221 52.356246,4.928291 52.356165,4.928378 52.356119)";"LINESTRING(52.356736 4.927943,52.356721 4.927932,52.356246 4.928221,52.356165 4.928291,52.356119 4.928378)";4.928155;52.3564275;
9452;9452;"zeer ruim";"uitstekend";"rustig";"uitstekend";"rustig";"goed";"druk";"goed";"druk";"LINESTRING(4.8757 52.372475,4.875575 52.372307,4.8754 52.372234)";"LINESTRING(52.372475 4.8757,52.372307 4.875575,52.372234 4.8754)";4.87555;52.3723545;
9453;9453;"zeer ruim";"goed";"druk";"matig";"zeer druk";"matig";"zeer druk";"matig";"zeer druk";"LINESTRING(4.90411 52.376885,4.90405 52.376944,4.90404 52.377022,4.90408 52.37706)";"LINESTRING(52.376885 4.90411,52.376944 4.90405,52.377022 4.90404,52.37706 4.90408)";4.904075;52.3769725;
